id,title,desc,by
c00055,Rest API Testing (Automation) from Scratch-Rest Assured Java,"""Top Ranked #1 Rest API Test Automation & postman tutorial with Java from Basics to Framework with Real time examples",Rahul Shetty
c00056,Master the Coding Interview: Data Structures + Algorithms,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",Andrei Neagoie
c00057,Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2023],"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",Kirill Eremenko
c00058,Learn JIRA with real-world examples (+Confluence bonus),"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",Kosh Sarkar
c00059,The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",Mosh Hamedani
c00060,Python for Absolute Beginners,Learn Python programming from scratch with hands-on exercises in this Python course!,Green Chameleon Learning
c00061,C Programming For Beginners - Master the C Language,C Programming will increase career options. Become a better dev in other languages by learning C. Pointers explained,Tim Buchalka's Learn Programming Academy
c00062,Modern JavaScript From The Beginning 2.0 - 2023 Revamp,A 36-hour master course to take you from beginner to advanced JavaScript,Brad Traversy
c00063,JavaScript Basics for Beginners,JavaScript - Master the Fundamentals in 6 Hours,Mosh Hamedani
c00064,Java Programming for Complete Beginners,Java Programming for Beginners to Java Object Oriented Programming. Core Java + REST API with Spring Boot. Java 8 to 16.,in28Minutes Official
c00065,Certified Tester ISTQB® Foundation Level (CTFL) Updated 2022,Be an ISTQB® certified tester and Learn the basics of Software testing principles and techniques from the first trial,Maged Koshty
c00066,"Machine Learning, Data Science and Generative AI with Python","Complete hands-on machine learning and AI tutorial with data science, Tensorflow, GPT, OpenAI, and neural networks",Sundog Education by Frank Kane
c00067,"Git Complete: The definitive, step-by-step guide to Git",Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,Jason Taylor
c00068,Alteryx Bootcamp,Learn Alteryx in as little as 4 hours with this Bestselling Alteryx Course (+90 minutes of extra content),Hendrik Kleine
c00069,The Modern Python 3 Bootcamp,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,Colt Steele
c00070,Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",Anthony Alicea
c00071,The Complete Android N Developer Course,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",Rob Percival
c00072,Kubernetes Certified Application Developer (CKAD) with Tests,Learn concepts and practice for the Kubernetes Certification with hands-on labs right in your browser - DevOps - CKAD,Mumshad Mannambeth
c00073,JavaScript - The Complete Guide 2023 (Beginner + Advanced),Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2023.,Academind by Maximilian Schwarzmüller
c00074,Complete C# Masterclass,"Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD",Denis Panjuta
c00075,"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)","Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",Andrei Neagoie
c00076,Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",Kirill Eremenko
c00077,The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",Mosh Hamedani
c00078,The Complete Java Certification Course,Become a confident industry ready core Java developer and get certified as a Java professional!,Job Ready Programmer
c00079,Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",Stephen Grider
c00080,Relational Database Design,Learn how to create an effective relational database design to use in your IT career or even a personal project.,Ben Brumm
c00081,Modern HTML & CSS From The Beginning (Including Sass),"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",Brad Traversy
c00082,The Complete 2023 Software Testing Bootcamp,Everything you need to learn about software testing and begin your career as a Quality Assurance Specialist,Tarek Roshdy
c00083,JavaScript Algorithms and Data Structures Masterclass,The Missing Computer Science and Coding Interview Bootcamp,Colt Steele
c00084,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,"Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",Andrew Eddy
c00085,PHP for Beginners - Become a PHP Master - CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,Edwin Diaz
c00086,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",Abdul Bari
c00087,Python for beginners,Master the fundamentals of Python while working on various usecases in easy steps,Bharath Thippireddy
c00088,Angular & NodeJS - The MEAN Stack Guide [2023 Edition],Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,Maximilian Schwarzmüller
c00089,The Complete Python Programming Course: Beginner to Advanced,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",Joseph Delgadillo
c00090,Docker & Kubernetes: The Practical Guide [2023 Edition],"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",Academind by Maximilian Schwarzmüller
c00091,MongoDB - The Complete Developer's Guide 2023,"Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",Academind by Maximilian Schwarzmüller
c00092,Become a WordPress Developer: Unlocking Power With Code,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",Brad Schiff
c00093,Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",Jose Portilla
c00094,The Complete React Developer Course (w/ Hooks and Redux),"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",Andrew Mead
c00095,Java In-Depth: Become a Complete Java Engineer!,"Comprehensive Java programming course integrated with design principles, best practices &amp; instructor-led Java EE project",Dheeru Mundluru
c00096,Microsoft SQL for Beginners,A comprehensive course to teach you how to complete SQL queries using Microsoft SQL Server and the T-SQL language.,Brewster Knowlton
c00097,C# Advanced Topics: Prepare for Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",Mosh Hamedani
c00098,Learn How To Code: Google's Go (golang) Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,Todd McLeod
c00099,Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",Anthony Alicea
c00100,REST APIs with Flask and Python in 2023,"Build professional REST APIs with Python, Flask, Docker, Flask-Smorest, and Flask-SQLAlchemy",Jose Salvatierra
c00101,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2024","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",Jonas Schmedtmann
c00102,The Agile Samurai Bootcamp,"Everything you need to setup, execute, and successfully deliver your own Agile project.",Jonathan Rasmusson
c00103,The Git & Github Bootcamp,"Master the essentials and the tricky bits: rebasing, squashing, stashing, reflogs, blobs, trees, & more!",Colt Steele
c00104,Git Going Fast: One Hour Git Crash Course,"Learn the key concepts and basic workflow for Git and GitHub with this easy to follow, top rated, bootcamp-style course!",Jason Taylor
c00105,Complete Guide to Elasticsearch,"Learn Elasticsearch from scratch and begin learning the ELK stack (Elasticsearch, Logstash & Kibana) and Elastic Stack.",Bo Andersen
c00106,Data Analysis with Pandas and Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,Boris Paskhaver
c00107,The Complete Python Course | Learn Python by Doing in 2023,Go from Beginner to Expert in Python by building projects. The best investment for your Python journey!,Codestars • over 2 million students worldwide!
c00108,"Understanding Jira for users, managers and admins",Everything you need to know to get started with Atlassian's powerful agile project management and issue tracker tool.,Dan LeFebvre
c00109,Complete Machine Learning & Data Science Bootcamp 2023,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",Andrei Neagoie
c00110,HTML5 and CSS3 Fundamentals,Build your very own website with HTML5 from scratch using HTML5 and CSS3 - designed for complete beginners,Stone River eLearning
c00111,Learning Python for Data Analysis and Visualization Ver 1,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",Jose Portilla
c00112,Build an app with ASPNET Core and Angular from scratch,A practical example of how to build an application with ASP.NET Core API and Angular from start to finish,Neil Cummings
c00113,MasterClass Software Testing with Jira & Agile -Be a QA Lead,2023 BEST job oriented Software Manual Testing course on real time Project+Interview ques+Resume Prep+ Lifetime Support,Rahul Shetty
c00114,Spring Framework 5: Beginner to Guru,"Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate","John Thompson • 500,000+ Enrollments Worldwide"
c00115,The Complete Oracle SQL Bootcamp (2024),Become an In-demand SQL Professional! Pass Oracle SQL 1Z0-071 (OCA) Certification Exam Confidently!,"Database Masters Training | 250,000+ Students Worldwide"
c00116,Learn Python & Ethical Hacking From Scratch,Write 20+ hacking programs to learn hacking & programming at the same time | No prior knowledge required,Zaid Sabih
c00117,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,[LATEST VERSION 2.0] Master on Mobile Apps Automation Testing from basics to Framework CI/CD with real time examples,Rahul Shetty
c00118,Angular Crash Course for Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,Mosh Hamedani
c00119,The Complete Android Oreo Developer Course - Build 23 Apps!,"Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",Rob Percival
c00120,Learn JMETER from Scratch on Live Apps -Performance Testing,Top class Jmeter lectures explaining Load testing with real time examples including material and query support,Rahul Shetty
c00121,Apache Spark with Scala - Hands On with Big Data!,"Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",Sundog Education by Frank Kane
c00122,Python for Financial Analysis and Algorithmic Trading,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",Jose Portilla
c00123,Selenium 4 WebDriver with Java(Basics + Advance + Architect),"#1 2022 TOP RATED, BEST SELLER Course on SELENIUM 4.0, Trusted by 500,000+ students with Many Live Projects & Frameworks",Rahul Arora
c00124,Javascript for Beginners Learn by Doing Practical Exercises,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,Edwin Diaz
c00125,Bash Scripting and Shell Programming (Linux Command Line),"Learn bash programming for Linux, Unix, & Mac. Learn how to write bash scripts like a pro & solve real-world problems!",Jason Cannon
c00126,Microservices with Node JS and React,"Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",Stephen Grider
c00127,Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,Jose Portilla
c00128,The Ultimate Guide to Game Development with Unity (Official),Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,Jonathan Weinberger
c00129,Bootstrap 4 From Scratch With 5 Projects,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,Brad Traversy
c00130,Learn JAVA Programming - Beginner to Master,Deep Dive in Core Java programming -Standard Edition. A Practical approach to learn Java. Become a Java Expert,Abdul Bari
c00131,WebServices/Rest API Testing with SoapUI +Real time Projects,"""Most Popular #1 SoapUI Test automation Course - ""70,000+ students learning together with great collaboration""",Rahul Shetty
c00132,Selenium Webdriver with PYTHON from Scratch + Frameworks,Version 4 LATEST - Learn Python Programming & Selenium Python Automation from Basics to Advanced level + 5 LIVE Project,Rahul Shetty
c00133,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,Jose Portilla
c00134,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular","Build Native iOS & Android as well as Progressive Web Apps with Angular, Capacitor and the Ionic Framework (Ionic 4+).",Maximilian Schwarzmüller
c00135,Postman: The Complete Guide - REST API Testing,"Postman API testing for manual and automated tests. Automate with Newman, Jenkins or any other CI tool.",Valentin Despa
c00136,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master","Become a DevOps Master learning Jenkins & integrations with powerful tools like Docker, Ansible, AWS, GIT & more!",Ricardo Andre Gonzalez Gomez
c00137,"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",Learn GitLab CI/CD from a GitLab Hero. Obtain valuable DevOps skills. Build pipelines & Deploy to AWS.,Valentin Despa
c00138,SOLID Principles: Introducing Software Architecture & Design,Gain mastery over SOLID Principles and write clean and well-designed code in Object Oriented Languages like Java etc.,Sujith George
c00139,Java Programming for Complete Beginners,Become a Computer Programmer by Learning Core Java Skills,Code IT
c00140,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,"Use Jenkins the DevOps way. Automate your Jenkins jobs by using Jenkins Pipelines, Docker, and the Jenkins Job DSL",Edward Viaene
c00141,The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,Rob Percival
c00142,NLP - Natural Language Processing with Python,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing",Jose Portilla
c00143,Taming Big Data with Apache Spark and Python - Hands On!,PySpark tutorial with 20+  hands-on examples of analyzing large data sets on your desktop or on Hadoop with Python!,Sundog Education by Frank Kane
c00144,The Ultimate Excel Programmer Course,"Learn Excel VBA from Scratch with Dan Strong, Bestselling Excel Expert with Over 180K Students Worldwide!",Daniel Strong
c00145,Data Structures and Algorithms:  Deep Dive Using Java,"Learn about Arrays,  Linked Lists, Trees,  Hashtables, Stacks,  Queues,  Heaps, Sort algorithms and Search algorithms",Tim Buchalka
c00146,Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,Tao W.
c00147,Core Java Made Easy (Covers the latest Java 18),Master java in quick and simple steps,Bharath Thippireddy
c00148,Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,"Java Spring Boot Framework in 100 steps - Build a REST API and a Web application with Java, JPA, SpringBoot and Maven",in28Minutes Official
c00149,Learn HTML5 Programming From Scratch,A Complete HTML5 Programming Course for Beginners,Eduonix Learning Solutions
c00150,The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",Gregg Davis
c00151,Next.js 14 & React - The Complete Guide,Learn NextJS 14 from the ground up and build fullstack ReactJS + NextJS apps with the App Router or Pages Router!,Maximilian Schwarzmüller
c00152,Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",Stephen Grider
c00153,The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,Stephen Grider
c00154,Learn DevOps: Infrastructure Automation With Terraform,"Learn how to automate your infrastructure with terraform. Covers Terraform with AWS, Packer, Docker, ECS, EKS, Jenkins",Edward Viaene
c00155,"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",A Comprehensive Guide to Make You a Job-Ready PL/SQL Developer.Also Covers Oracle 1Z0-144 and 1Z0-149 PL SQL Exam Topics,"Database Masters Training | 250,000+ Students Worldwide"
c00156,Master Java Web Services and REST API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,in28Minutes Official
c00157,The Complete Prompt Engineering for AI Bootcamp (2023),"Learn practical coding skills for working professionally with AI, including GPT-4, Stable Diffusion, and GitHub Copilot.",Mike Taylor
c00158,Ultimate Web Designer & Web Developer Course,Become a Full-Stack Web Designer in 2023 - Learn Everything from Web Design Fundamentals to Front-End Web Development,Brad Hussey
c00159,Build Websites from Scratch with HTML & CSS,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course,Brad Hussey
c00160,"MERN Stack Front To Back: Full Stack React, Redux & Node.js","Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",Brad Traversy
c00161,The Complete Front-End Web Development Course,"Get started as a front-end web developer using HTML, CSS, JavaScript, jQuery, and Bootstrap!",Joseph Delgadillo
c00162,Introduction to Machine Learning for Data Science,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",David Valentine
c00163,Python for Machine Learning & Data Science Masterclass,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",Jose Portilla
c00164,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,Stephen Grider
c00165,Scala & Functional Programming Essentials | Rock the JVM,"Become a Scala programmer and get the skills you need to work with Spark, Akka, and any Scala framework!",Daniel Ciocîrlan
c00166,Selenium WebDriver with Java for beginners,Selenium WebDriver with Java and TestNG. Tutorial designed for complete beginners in Selenium testing and automation,Dmitry Shyshkin
c00167,Cypress -Modern Automation Testing from Scratch + Frameworks,Learn writing fast and robust Automated (UI + Integration) Tests using Cypress V13 with Mocha and Cucumber frameworks,Rahul Shetty
c00168,iOS 10 & Swift 3: From Beginner to Paid Professional™,The most comprehensive course on iOS development - become a master of app development,Mark Wahlbeck
c00169,Introduction to OpenAI API & ChatGPT API for Developers,"Intro to Gen AI. Integrate APIs from OpenAI such as ChatGPT (GPT-3.5 & GPT-4), Whisper & DALL-E in your own applications",Valentin Despa
c00170,.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],"Build real world e-commerce application using ASP.NET Core MVC, Entity Framework Core and ASP.NET Core Identity.",Bhrugen Patel
c00171,JavaScript: The Advanced Concepts (2023 Update),Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,Andrei Neagoie
c00172,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",Academind by Maximilian Schwarzmüller
c00173,"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle","Build continuous integration, continuous delivery and DevOps pipelines with Java, Gradle, Maven, Artifactory & Sqitch.",TetraNoodle Team
c00174,Entity Framework in Depth: The Complete Guide,Connect your applications to a SQL Server database,Mosh Hamedani
c00175,Complete UiPath RPA Developer Course: Build 7 Robots,Master Robotic Process Automation (RPA) and UiPath - go from beginner to advanced.,Leon Petrou
c00176,Quick Introduction to Postman and API Testing for Beginners,Get up to speed with Postman and learn REST API & testing real FAST. You learn 80% of what you need in 20% of the time.,Valentin Despa
c00177,The Complete Android 14 & Kotlin Development Masterclass,"Learn Android 14 App Development From Beginner to Advanced Developer. Build Apps like Trello, 7Min Workout, Weather App",Denis Panjuta
c00178,PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,Edwin Diaz
